TTFVM,SUS,QualityPerTime,Group
37,77.5,0.0152,Novice
67,42.5,0.0124,Novice
58,85,0.0157,Experienced
47,77.5,0.0168,Novice
35,70,0.0204,Experienced
45,70,0.0161,Experienced
57,55,0.0094,Novice
65,45,0.0149,Novice
47,66,0.0186,Experienced
51,75,0.0148,Experienced
42,85,0.0136,Novice
35,85,0.0250,Novice
71,87.5,0.0089,Experienced
90,55,0.0080,Experienced
34,67.5,0.0228,Experienced
70,77.5,0.0080,Experienced
63,65,0.0139,Novice
45,85,0.0178,Novice
43,85,0.0128,Novice
41,70,0.0144,Experienced
40,55,0.0197,Novice
47,42.5,0.0120,Novice
56,77.5,0.0156,Novice
55,87.5,0.0176,Novice
52,72.5,0.0186,Experienced
55,60,0.0130,Novice
36,72.5,0.0219,Novice
59,77.5,0.0136,Experienced
41,80,0.0222,Novice
54,95,0.0102,Novice
